,obs_gdp_growth,obs_gdi_growth,obs_cons_growth,obs_inv_growth,obs_wage_growth,obs_hours,obs_infl_pce,obs_infl_gdpdef,obs_ffr,obs_10y_rate,obs_10y_infl_exp,obs_spread,obs_tfp_growth
2010-03-31,0.403065370969117,0.403065370969117,0.40101097715720035,0.4161239307911895,0.40546122078877195,-45.000556803395106,0.5028121627959554,0.5028121627959554,3.8137059750156923,3.8137059750156923,0.5014060836828057,2.0031414889905235,0.002244292924160275
2010-06-30,0.2867879909143059,0.2867879909143059,0.372144860328599,0.13728406134209112,0.3745884136110335,-45.10428526538948,0.5036105373713717,0.5036105373713717,3.813062905604573,3.813062905604573,0.5018052664237066,2.003784558401638,-0.0023832239876357374
2010-09-30,0.287216573645316,0.287216573645316,0.3753466146024748,0.14178147770437463,0.37366506791059056,-45.000540214247025,0.5015808346650249,0.5015808346650249,3.807385430016412,3.807385430016412,0.5007904195718724,2.0094620339897995,-0.0021414903918561224
2010-12-31,0.2624761380837713,0.2624761380837713,0.35589597081030494,0.11312900464511524,0.3435725041169884,-45.11684748327153,0.5035841293277941,0.5035841293277941,3.8228315002228364,3.8228315002228364,0.5017920624469311,1.9940159637833772,-0.009539551188214748
2011-03-31,0.4576180704849252,0.4576180704849252,0.41325904132695823,0.5639583122388839,0.37776695832940915,-44.84057062411237,0.4965475837335327,0.4965475837335327,3.8203348038510745,3.8203348038510745,0.49827379406156297,1.9965126601551386,0.01767184023024783
2011-06-30,0.4105963238573352,0.4105963238573352,0.38230110595578287,0.49378118462698173,0.3297854865961149,-45.13683999140477,0.5081889693862344,0.5081889693862344,3.8208245866875665,3.8208245866875665,0.5040944825202689,1.9960228773186421,-0.001200902687310816
2011-09-30,0.357836394745524,0.357836394745524,0.39046424345612957,0.32184366526596625,0.349588979513749,-44.89709666856658,0.4933671674716353,0.4933671674716353,3.8155492010938734,3.8155492010938734,0.4966835858869379,2.0012982629123406,4.2121400765422756e-06
2011-12-31,0.3906596203223198,0.3906596203223198,0.3964185856490701,0.40269278211338005,0.3413928901894122,-45.106796252796386,0.4971358227679587,0.4971358227679587,3.818187710126165,3.818187710126165,0.4985679092543706,1.9986597538800444,0.007181936036931648
2012-03-31,0.35093960774832705,0.35093960774832705,0.3780279543931976,0.3302740157625746,0.3430393249726012,-44.92173007002425,0.5051813612302624,0.5051813612302624,3.812806971529372,3.812806971529372,0.5025906827234438,2.0040404924768405,-0.015135384253154029
2012-06-30,0.4203670852965679,0.4203670852965679,0.4043546264319622,0.4786236999577817,0.3686130384799356,-45.0521975014361,0.4892982373086914,0.4892982373086914,3.8205895439033872,3.8205895439033872,0.4946491165671162,1.9962579201028294,-0.006950190720269107
2012-09-30,0.3419375282388546,0.3419375282388546,0.3822727105623693,0.3025419104111167,0.3577260124208698,-44.99457028006557,0.5077085098039568,0.5077085098039568,3.8150342719191337,3.8150342719191337,0.5038542569683353,2.0018131920870825,-0.009013347525130761
2012-12-31,0.3301079666669957,0.3301079666669957,0.3910520077387432,0.2605882363841462,0.34154428508595686,-45.063880963046785,0.49340334155147003,0.49340334155147003,3.814577417989792,3.814577417989792,0.49670166873004135,2.002270046016419,-0.004894616433705657
2013-03-31,0.39019983664349267,0.39019983664349267,0.39571029115064793,0.4172046087100609,0.3663870504478559,-44.94694479089974,0.49981462772475616,0.49981462772475616,3.822345087382772,3.822345087382772,0.4999073158876148,1.9945023766234369,0.0017274008580403998
2013-06-30,0.3905052692071919,0.3905052692071919,0.394475113445921,0.41785147373733106,0.3653547213436249,-45.060981392742285,0.48964667428057485,0.48964667428057485,3.812432600240096,3.812432600240096,0.49482333513530335,2.0044148637661157,-0.00048475092654743637
2013-09-30,0.36754846533361746,0.36754846533361746,0.3936808383407827,0.3468096986713495,0.36690530780709685,-44.974730493323655,0.5001164238226886,0.5001164238226886,3.8153806034833533,3.8153806034833533,0.5000582138962792,2.0014668605228594,0.008314269924659041
2013-12-31,0.4702667715486582,0.4702667715486582,0.40633572608192825,0.6193597762265685,0.3817462925880928,-44.954817161086666,0.4881779664858659,0.4881779664858659,3.8204776052684575,3.8204776052684575,0.4940889812778476,1.9963698587377583,-0.008635800886833175
2014-03-31,0.38784752374230236,0.38784752374230236,0.3930951540928651,0.4061664197508006,0.3716434011616394,-45.05733611651152,0.49751104865050416,0.49751104865050416,3.816359639550715,3.816359639550715,0.49875552627068637,2.000487824455496,-0.0005601604755286393
2014-06-30,0.4190173128716922,0.4190173128716922,0.4065646520102786,0.46795621900378886,0.39085351984364647,-44.927629778162434,0.497279925437084,0.497279925437084,3.8225654436762384,3.8225654436762384,0.49863996079256234,1.9942820203299734,-0.0038542351852840426
2014-09-30,0.48408646144568906,0.48408646144568906,0.41733069534003625,0.6380278191538378,0.39458586759301595,-45.00158949180155,0.4946906285201517,0.4946906285201517,3.825521275366265,3.825521275366265,0.49734531616679606,1.9913261886399491,0.004796502819779319
2014-12-31,0.4336736270840036,0.4336736270840036,0.4151703330593542,0.4904109236193938,0.39253358136441796,-44.98058010777606,0.5057222074113884,0.5057222074113884,3.8088053413770777,3.8088053413770777,0.5028611018180409,2.0080421226291394,0.014331132084016193
