,obs_gdp_growth,obs_gdi_growth,obs_cons_growth,obs_inv_growth,obs_wage_growth,obs_hours,obs_infl_pce,obs_infl_gdpdef,obs_ffr,obs_10y_rate,obs_10y_infl_exp,obs_spread,obs_tfp_growth
2010-03-31,1.9246775465438393,1.9246775465438393,0.7865954727765696,4.076485249451536,0.781263568274974,-43.66918776777544,0.7048315063889116,0.7048315063889116,3.9982295399847114,3.9982295399847114,0.6024157554792836,2.181007441059643,0.2762098073790825
2010-06-30,1.9201721134218073,1.9201721134218073,0.8129105634612862,4.09454156476573,0.8277417748718048,-43.62239340664045,0.7362024622471716,0.7362024622471716,4.033514486468986,4.033514486468986,0.6181012288616062,2.2163929135686877,0.2984564895712242
2010-09-30,2.1589283360946974,2.1589283360946974,0.8867198106003923,4.687342773410554,0.9935339341767474,-43.09121926903167,0.7748274461365667,0.7748274461365667,4.02658601607747,4.02658601607747,0.6374137253076431,2.2181449207481982,0.3274970348759151
2010-12-31,2.2940060659069843,2.2940060659069843,0.8963269396573164,4.911162883067602,0.9871839369278971,-43.376732288033544,0.7771193283889776,0.7771193283889776,4.037239901801042,4.037239901801042,0.6385596619775227,2.209160201640953,0.34206832065099974
2011-03-31,2.5404803131491938,2.5404803131491938,0.9294471238334873,5.649283409977923,1.1017582860894468,-42.95015658049589,0.783965303499847,0.783965303499847,4.030972431092793,4.030972431092793,0.6419826539447201,2.211722586503971,0.31209237169040543
2011-06-30,2.590882515351864,2.590882515351864,0.9778916307210217,5.544374322400151,1.1653862423781611,-43.12928196456709,0.7806679701562856,0.7806679701562856,4.043989980330939,4.043989980330939,0.6403339829052942,2.20349557434413,0.33813199752291073
2011-09-30,2.3656375498963107,2.3656375498963107,0.9626850296564111,5.017718826016266,1.160153167399785,-43.01534275576441,0.7806545937909428,0.7806545937909428,4.0287738031614735,4.0287738031614735,0.6403272990465915,2.219741818343911,0.32598878581965013
2011-12-31,2.438001157669899,2.438001157669899,0.9957729124747804,5.460755652343388,1.229178223745823,-42.98184308206336,0.7877627532526587,0.7877627532526587,4.051425827551611,4.051425827551611,0.6438813744967204,2.236703855784147,0.3391824047632193
2012-03-31,2.548147255819649,2.548147255819649,0.9790160499207163,5.512629779878735,1.223327595882696,-42.90987567069156,0.8213542925339504,0.8213542925339504,4.045086764506084,4.045086764506084,0.6606771483752879,2.2250751263221247,0.324526164531862
2012-06-30,2.7610521077481014,2.7610521077481014,1.0608509918436226,5.785802035381076,1.2231299630882653,-42.82184806682892,0.8209953998702608,0.8209953998702608,4.035323818055291,4.035323818055291,0.6604976978479007,2.2079930002442603,0.31233283282867214
2012-09-30,2.6250272919636357,2.6250272919636357,1.0568745391286463,5.843270122505459,1.2411100469122094,-42.832978356887274,0.8354276436047753,0.8354276436047753,4.033764180729472,4.033764180729472,0.667713823868745,2.2137553025271806,0.32161643550483987
2012-12-31,2.5398754533909,2.5398754533909,1.0615326199834594,5.386398157112563,1.29724626670279,-42.95846494481576,0.820383309942656,0.820383309942656,4.046855655584652,4.046855655584652,0.6601916529256342,2.231617165415074,0.3370782936795903
2013-03-31,2.645582089276131,2.645582089276131,1.072552263208744,5.725904125555139,1.2806177320162584,-42.64824787152054,0.8346463709000719,0.8346463709000719,4.048534699709865,4.048534699709865,0.6673231874752727,2.2194419569461443,0.3906621026475199
2013-06-30,2.522222224998453,2.522222224998453,1.0678715279386441,5.236130044514361,1.3020232111917176,-42.92771727277746,0.8266091255904694,0.8266091255904694,4.036918863374234,4.036918863374234,0.6633045607902502,2.2479888131237966,0.35734034204322607
2013-09-30,2.3594293009514664,2.3594293009514664,1.0172682223161413,4.905634303165358,1.322972913373945,-42.6248568051559,0.8541967661361174,0.8541967661361174,4.045585461964496,4.045585461964496,0.6770983850529932,2.2125279152670134,0.34983574744089513
2013-12-31,2.421440879294669,2.421440879294669,1.0300350986361169,5.386122492649842,1.280277861386354,-42.796185034748625,0.8257006478356448,0.8257006478356448,4.050308163203175,4.050308163203175,0.6628503219527371,2.236394135894655,0.3062476023758832
2014-03-31,2.4264979995908447,2.4264979995908447,0.9805398434652182,5.471086044653514,1.2663751488447181,-42.88454824033826,0.842534323653203,0.842534323653203,4.045134741263078,4.045134741263078,0.6712671637720359,2.234565752565011,0.3392807779330645
2014-06-30,2.6055728036707766,2.6055728036707766,1.025807785681992,5.687165830942212,1.2400410628702496,-42.715965202624005,0.8472318507133755,0.8472318507133755,4.022017764528861,4.022017764528861,0.6736159234307076,2.2103168806492475,0.3321165680282246
2014-09-30,2.649691862393138,2.649691862393138,1.0990528825680745,5.7628148075075325,1.2449038183031094,-42.8286515904475,0.8122556627395635,0.8122556627395635,4.059998075471274,4.059998075471274,0.656127833276502,2.2082408322638587,0.3468103366755042
2014-12-31,2.565981954172183,2.565981954172183,1.059211446732237,5.561014051242853,1.2551303342126552,-42.87215818301241,0.8712415926602165,0.8712415926602165,4.048677747802911,4.048677747802911,0.6856207944424552,2.246188920603275,0.33560019359464505
